symbol,city,administrative,population,foundation,area_km2
gerb.png,Авдіївка,Донецька область,37 210,1778,29.00
Almazna gerb.jpg,Алмазна,Луганська область,5 061,1870,1.33
COA Alupka Yaltynska Crimea.svg,Алупка,Автономна Республіка Крим,9 018,X ст.,4.00
COA Alushta.svg,Алушта,Автономна Республіка Крим,31 440,V ст.,7.00
Coat of Arms of Alchevsk.svg,Алчевськ,Луганська область,119 193,1895,50.00
Amvrosiyivka gerb.png,Амвросіївка,Донецька область,22 130,1869,19.40
Ananyiv big gerb.png,Ананьїв,Одеська область,9 476,1753,5.00
Coat of Arms of Andrushivka.png,Андрушівка,Житомирська область,9 890,1683,6.80
Coat of Arms of Antraczyt.png,Антрацит,Луганська область,63 698,1895,61.30
Coat of arms of Apostolove.gif,Апостолове,Дніпропетровська область,16 439,1793,15.83
COA Armiansk Krym.svg,Армянськ,Автономна Республіка Крим,23 869,XVIII ст.,16.20
Artsyz city gerb new.png,Арциз,Одеська область,16 370,1816,118.00
Герб Балаклеи.png,Балаклія,Харківська область,32 408,1663,16.30
Balta coat of arms new official.png,Балта,Одеська область,19 962,1797,23.00
Barcoatofarms.png,Бар,Вінницька область,17 284,XIV ст.,5.95
Baranivka s.png,Баранівка,Житомирська область,12 584,1566,77.60
Герб Барвенково.png,Барвінкове,Харківська область,12 998,1653,22.10
Baturyn gerb.png,Батурин,Чернігівська область,3 066,1625,7.00
Bahmach gerb.svg,Бахмач,Чернігівська область,20 332,XIX ст.,18.90
Coat of Arms of Bakhmut.svg,Бахмут,Донецька область,82 916,1571,41.60
COA Bakhchysarai.svg,Бахчисарай,Автономна Республіка Крим,27 549,1502,55.00
Coats of arms of Bashtanka.png,Баштанка,Миколаївська область,13 146,1806,17.14
Coat of Arms Belz.png,Белз,Львівська область,2 478,1030 ,5.85
Berdychiv gerb.png,Бердичів,Житомирська область,87 575,1430,35.33
Berdiansk coa.png,Бердянськ,Запорізька область,121 692,1827,82.00
Coat of Arms of Beregove.png,Берегове,Закарпатська область,26 735,1063,19.00
Coat of Arms of Berezhany.svg,Бережани,Тернопільська область,17 617,1375,12.00
Coat of Arms of Berezan.svg,Березань,Київська область,17 367,1616 ,32.90
Bereziwskiy rayon coat.png,Березівка,Одеська область,9 481,1802,34.50
Berezne.png,Березне,Рівненська область,13 669,1584 ,3.50
Berestechko s.png,Берестечко,Волинська область,1 904,1445,9.80
Beryslav gerb.png,Берислав,Херсонська область,15 455,1784,9.00
Bershad coat of arms (UHT).svg,Бершадь,Вінницька область,13 336,1459 ,7.10
Coat of Arms Bibrka.png,Бібрка,Львівська область,3 980,1211 ,5.14
Bila Tserkva gerb.svg,Біла Церква,Київська область,200 131,1032,67.80
COA of Bilhorod-Dnistrovskyi.png,Білгород-Дністровський,Одеська область,51 890,498 до н. е.,31.00
Belick coa.gif,Білицьке,Донецька область,10 093,1909,2.00
COA Bilohirsk Krym.svg,Білогірськ,Автономна Республіка Крим,18 790,XV ст.,5.40
Belozerske gerb.png,Білозерське,Донецька область,17 868,1913,2.50
Bilopillya 2016 gerb.png,Білопілля,Сумська область,18 384,XI ст.,23.10
Bilyayivka coat of arms.svg,Біляївка,Одеська область,14 294,1792,14.50
Coat of arms of Blahovishchenske Raion in Kirovohrad Oblast.png,Благовіщенське,Кіровоградська область,7 526,1870,7.00
Coat of Arms Bobrynets.png,Бобринець,Кіровоградська область,12 300,1767,18.13
UKR Бобро́вицький райо́н COA.svg,Бобровиця,Чернігівська область,11 916,XI ст.,18.90
Coat of Arms of Bohodukhiv.png,Богодухів,Харківська область,18 224,1662,16.20
Gerb-boguslav.png,Богуслав,Київська область,17 135,1032,71.00
Bokovo-Khrustalne gerb.jpg,Боково-Хрустальне,Луганська область,14 773,1954,28.00
