city,lat,lng,country,iso2,admin,capital,population,population_proper
Kiev,50.433333,30.516667,Ukraine,UA,"Kyyiv, Misto",primary,2709000,1662508
Kharkiv,49.980814,36.252718,Ukraine,UA,Kharkivs’ka Oblast’,admin,1461000,1215127
Dnipro,48.459298,35.038648,Ukraine,UA,Dnipropetrovs’ka Oblast’,admin,1050000,848849
Odesa,46.463934,30.738551,Ukraine,UA,Odes’ka Oblast’,admin,991000,704001
Donets’k,47.991664,37.775928,Ukraine,UA,Donets’ka Oblast’,admin,988000,760275
L’viv,49.840661,24.030451,Ukraine,UA,L’vivs’ka Oblast’,admin,803880,717803
Zaporizhzhya,47.822892,35.190314,Ukraine,UA,Zaporiz’ka Oblast’,admin,788000,413557
Kryvyy Rih,47.911299,33.453925,Ukraine,UA,Dnipropetrovs’ka Oblast’,,652380,490907
Mykolayiv,46.965909,31.997403,Ukraine,UA,Mykolayivs’ka Oblast’,admin,510840,194995
Mariupol’,47.105705,37.533086,Ukraine,UA,Donets’ka Oblast’,,481626,351244
Luhans’k,48.567046,39.31706,Ukraine,UA,Luhans’ka Oblast’,admin,452000,365862
Khmel’nyts’kyy,49.421608,26.996529,Ukraine,UA,Khmel’nyts’ka Oblast’,admin,398346,245840
Horlivka,48.335761,38.05325,Ukraine,UA,Donets’ka Oblast’,,396885,278550
Sevastopol’,44.58828,33.5224,Ukraine,UA,"Sevastopol’, Misto",admin,379200,314465
Makiyivka,48.047816,37.925764,Ukraine,UA,Donets’ka Oblast’,,376610,261155
Simferopol’,44.957186,34.110787,Ukraine,UA,"Krym, Avtonomna Respublika",admin,358108,253657
Vinnytsya,49.232776,28.480968,Ukraine,UA,Vinnyts’ka Oblast’,admin,352115,347139
Kherson,46.655814,32.6178,Ukraine,UA,Khersons’ka Oblast’,admin,320477,236680
Poltava,49.593727,34.540733,Ukraine,UA,Poltavs’ka Oblast’,admin,317847,286588
Chernihiv,51.505507,31.284875,Ukraine,UA,Chernihivs’ka Oblast’,admin,307684,279629
Chernivtsi,48.291488,25.940341,Ukraine,UA,Chernivets’ka Oblast’,admin,298251,236250
Cherkasy,49.428536,32.06207,Ukraine,UA,Cherkas’ka Oblast’,admin,297568,273821
Sumy,50.921597,34.800294,Ukraine,UA,Sums’ka Oblast’,admin,294456,285146
Zhytomyr,50.264868,28.676691,Ukraine,UA,Zhytomyrs’ka Oblast’,admin,282192,274970
Rivne,50.623079,26.22743,Ukraine,UA,Rivnens’ka Oblast’,admin,255106,251416
Ternopil’,49.555887,25.605565,Ukraine,UA,Ternopil’s’ka Oblast’,admin,244768,235676
Ivano-Frankivs’k,48.921504,24.709716,Ukraine,UA,Ivano-Frankivs’ka Oblast’,admin,241239,204200
Kremenchuk,49.072005,33.427482,Ukraine,UA,Poltavs’ka Oblast’,minor,232742,186251
Luts’k,50.759319,25.342436,Ukraine,UA,Volyns’ka Oblast’,admin,213661,210299
Bila Tserkva,49.809386,30.112086,Ukraine,UA,Kyyivs’ka Oblast’,minor,199163,185674
