x,y
1409,1257
1409,1257
1409,1257
1420,1278
1420,1278
1427,1294
1436,1315
1446,1336
1446,1336
1446,1336
1446,1336
1499,1345
1499,1345
1347,1278
1347,1278
1383,1290
1383,1290
1330,1291
1330,1291
1330,1291
1342,1253
1342,1253
1316,1269
1316,1269
1265,1239
1295,1330
1295,1330
1295,1330
1306,1348
1315,1367
1315,1367
1315,1367
1315,1367
1245,1321
1233,1349
1410,1346
1423,1371
1423,1371
1423,1371
1423,1371
1435,1391
1435,1391
1435,1391
1219,1246
1219,1246
1211,1190
1154,1260
1154,1260
1171,1268
1171,1268
1196,1257
1196,1257
1222,1172
1209,1152
1198,1133
1198,1133
1198,1133
1191,1158
1110,1190
1092,1162
1092,1222
1024,1191
1024,1191
1000,1206
1000,1206
918,1296
1142,1301
1003,1402
1088,1421
1090,1448
1090,1448
1120,1422
1120,1422
1120,1422
1120,1422
1120,1422
1120,1422
1120,1422
1120,1422
1155,1400
1155,1400
1115,1399
1293,1473
1248,1453
1368,1587
1382,1610
1393,1624
1393,1624
1393,1624
1393,1624
1375,1629
1346,1593
1431,1643
1469,1618
1485,1602
1485,1602
1485,1602
1485,1602
1470,1645
1515,1658
1532,1649
1543,1666
1624,1585
1578,1544
1578,1544
1608,1528
1461,1428
1498,1500
1524,1495
1524,1495
1536,1515
1545,1532
1499,1445
1499,1445
1492,1395
1492,1395
1514,1386
1533,1381
1533,1381
1551,1368
1551,1368
1551,1368
1601,1344
1623,1334
1623,1334
1623,1334
1623,1334
1654,1322
1654,1322
1654,1322
1654,1322
1654,1322
1654,1322
1654,1322
1654,1322
1654,1322
1654,1322
1654,1322
1654,1322
1654,1322
1654,1322
1654,1322
1673,1314
1673,1314
1673,1314
1690,1303
1690,1303
1690,1303
1690,1303
1738,1356
1738,1356
1738,1356
1738,1356
1738,1356
1775,1410
1775,1410
1753,1445
1730,1456
1730,1456
1712,1467
1689,1478
1662,1496
1626,1515
1767,1464
1705,1518
1715,1543
1752,1522
1770,1559
1748,1604
1762,1620
1803,1615
1815,1634
1824,1655
1824,1655
1840,1687
1777,1655
1860,1791
1860,1791
1860,1791
1860,1791
1879,1757
1879,1757
1892,1777
1911,1800
1911,1800
1911,1800
1911,1800
2048,1834
2048,1834
2048,1834
2048,1834
2043,1771
1986,1696
1986,1696
1986,1696
1986,1696
1982,1729
1968,1710
1902,1576
1902,1576
1878,1574
1854,1538
1854,1538
1842,1518
1842,1518
1842,1518
1823,1493
1808,1473
1808,1473
1808,1473
1808,1473
1831,1461
1818,1439
2003,1505
2003,1505
2003,1505
2003,1505
2003,1505
2003,1505
2003,1505
2051,1477
2051,1477
2051,1477
2159,1594
2159,1594
2159,1594
2159,1594
2159,1594
2159,1594
2159,1594
2159,1594
2186,1718
2084,1711
2057,1362
2057,1362
2057,1362
2057,1362
2057,1362
2218,1400
2218,1400
2218,1400
2218,1400
2218,1400
2218,1400
2218,1400
2218,1400
2193,1359
2193,1359
2209,1384
2173,1332
2163,1311
2163,1311
2147,1279
2137,1260
2137,1260
2025,1242
2025,1242
2104,1263
2104,1263
2104,1263
2045,1222
2002,1239
2002,1239
2067,1198
2067,1198
1897,1333
1897,1333
1897,1333
1905,1350
1910,1368
1910,1368
1932,1400
1941,1415
1964,1461
1890,1317
1841,1246
1841,1246
1841,1246
1820,1256
1820,1256
1820,1256
1799,1267
1799,1267
1799,1267
2078,1570
2078,1570
2078,1570
2125,1574
2101,1585
2101,1585
2077,1597
2427,1372
2478,1338
2470,1367
2470,1367
2554,1328
2311,1219
2301,1189
2275,1184
2275,1184
2289,1227
2289,1227
2249,1116
2261,1152
2150,1158
2132,1111
2080,1079
2099,1198
2109,1036
2263,1090
2263,1090
2263,1090
2263,1090
2263,1090
2280,1140
2229,1025
2210,995
2210,995
2203,974
2203,974
2162,963
2229,931
2272,910
2277,917
2298,908
2298,908
2294,901
2294,901
2355,857
2355,857
2355,857
2355,857
2355,857
2332,866
2348,875
2377,864
2372,848
2388,843
2388,843
2388,843
2388,843
2414,831
2436,836
2436,836
2453,827
2210,368
2028,603
1997,620
1852,741
1673,730
1673,730
1673,730
1723,705
1935,862
1953,770
1953,770
2117,875
2156,880
2128,734
1923,902
1956,898
1936,922
1936,922
1989,963
1952,965
2002,993
2002,993
1974,1006
1974,1006
1974,1006
1803,911
1803,911
1780,923
1805,843
1829,834
1849,828
1795,817
1759,831
1759,831
1642,855
1642,855
1642,855
1642,941
1642,941
1642,941
1672,935
1675,1022
1695,989
1695,989
1695,989
1690,1058
1826,1035
1864,1017
1881,1010
1903,996
1903,996
1888,1033
1888,1033
1852,1047
1852,1047
1852,1047
1852,1047
1831,1060
1831,1060
1831,1060
1831,1060
1831,1060
1815,1065
1815,1065
1971,1113
1971,1113
1971,1113
1971,1113
1971,1113
1997,1047
1997,1047
1997,1047
1997,1047
1997,1047
1949,1122
1949,1122
1949,1122
1926,1133
1926,1133
1926,1133
1895,1148
1874,1160
1874,1160
1874,1160
1874,1160
1874,1160
1854,1167
1854,1167
1854,1167
1854,1167
1803,1192
1803,1192
1803,1192
1803,1192
1719,1236
1697,1245
1697,1245
1697,1245
1697,1245
1677,1255
1651,1264
1651,1264
1651,1264
1633,1281
1633,1281
1570,1273
1704,1098
1704,1098
1738,1091
1539,1203
1527,1184
1527,1184
1515,1137
1515,1137
1515,1137
1326,1070
1541,1126
1395,1225
1395,1225
1395,1225
1395,1225
1363,1147
1363,1147
1339,1172
1339,1172
1332,1147
1377,1017
1377,1017
1377,1017
1377,1017
1377,1017
1419,763
1419,763
1419,763
1466,746
1466,746
1602,847
1602,847
1602,847
1612,781
1612,781
1281,1666
1360,1783
1442,1837
