"STATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03"
"USW00024233","2000-01-01","5.5"," 0450"," 0457","6.9",,,"4.4","6.1","2.8",,"  230","  240","0.0","10.3","14.8","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-01-02","4.0"," 0611"," 0339","0.0",,,"-3.9","7.2","2.8",,"  230","  220","0.0","7.6","9.8",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-01-03","4.2"," 2121"," 2120","7.1",,,"5.6","8.3","2.2",,"  170","  170","0.0","9.4","10.7","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-01-04","6.0"," 0928"," 0933","7.6",,,"7.8","10.0","5.6",,"  230","  220","0.0","10.3","13.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-01-05","3.0"," 1209"," 1646","0.0",,,"5.0","6.7","2.8",,"  140","  120","0.0","5.8","6.3",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-01-06","2.5"," 1538"," 1538","0.8",,,"2.8","5.0","0.6",,"  190","  180","0.0","5.8","7.2","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-01-07","4.0"," 0643"," 2042","5.3",,,"6.1","7.8","4.4",,"  200","  160","0.0","7.2","8.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-01-08","6.4"," 0610"," 0906","8.1",,,"5.0","7.8","2.2",,"  230","  220","0.0","12.5","16.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-01-09","6.7"," 0611"," 0744","4.8",,,"4.4","6.7","1.7",,"  210","  240","0.0","13.4","17.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-01-10","3.7"," 0302"," 0302","4.8",,,"1.7","2.2","1.1",,"  190","  190","0.0","7.2","8.0","    1",,,,,,,,,,"    1","    1",,"    1",,"    1",,,,,
"USW00024233","2000-01-11","5.0"," 1800"," 1759","1.5",,,"2.2","2.8","1.1",,"  210","  210","0.0","9.8","11.2","    1",,,,,,,,,,"    1","    1",,"    1",,"    1",,,,,
