,fathers,sons
0,65.0,59.8
1,63.3,63.2
2,65.0,63.3
3,65.8,62.8
4,61.1,64.3
5,63.0,64.2
6,65.4,64.1
7,64.7,64.0
8,66.1,64.6
9,67.0,64.0
10,59.0,65.2
11,62.9,65.4
12,63.7,65.7
13,64.1,65.4
14,64.7,65.3
15,65.2,64.8
16,66.4,65.0
17,65.6,65.5
18,67.4,65.1
19,66.8,65.5
20,67.8,65.1
21,69.5,65.5
22,62.5,66.6
23,63.8,66.4
24,64.5,66.1
25,65.0,66.0
26,64.7,66.0
27,65.7,66.5
28,65.5,65.7
29,65.6,66.0
30,66.9,65.9
31,66.6,65.9
32,66.5,66.5
33,67.9,65.8
34,68.3,66.3
35,67.7,66.1
36,68.5,66.3
37,69.4,66.3
38,71.8,66.4
39,62.4,67.2
40,64.5,67.5
41,64.5,67.0
42,63.9,66.8
43,65.4,67.0
44,65.0,66.8
45,65.7,69.3
46,68.7,69.1
47,66.5,61.7
48,64.9,65.7
49,69.6,69.0
50,64.8,67.4
51,65.3,67.2
52,65.8,67.1
53,65.8,67.3
54,65.6,67.6
55,65.9,67.5
56,65.8,66.9
57,67.1,67.6
58,66.6,67.2
59,67.4,66.8
60,67.3,67.2
61,66.6,67.5
62,68.2,67.6
63,67.8,67.2
64,68.3,67.5
65,68.1,67.4
66,69.0,67.6
67,68.9,67.3
68,69.6,66.8
69,70.4,66.7
70,70.0,66.9
71,72.8,67.6
72,62.8,68.0
73,62.9,68.5
74,63.9,68.0
75,64.5,68.3
76,64.5,68.3
77,66.0,68.3
78,65.8,68.2
79,66.0,68.5
80,65.5,68.1
81,65.7,68.3
82,66.8,68.0
83,66.7,68.6
84,67.0,67.9
85,66.9,68.1
86,66.8,68.4
87,67.1,67.9
88,67.7,68.2
89,68.3,68.0
90,67.6,68.2
91,68.4,67.9
92,67.7,68.6
93,68.7,68.0
94,69.3,68.3
95,68.7,67.9
96,69.1,68.6
97,69.3,68.2
98,68.6,68.6
99,69.6,68.1
100,70.4,68.4
101,71.2,67.8
102,70.8,68.6
103,71.7,67.9
104,73.3,67.8
105,63.0,68.8
106,63.7,69.6
107,65.4,69.7
108,64.6,69.4
109,66.4,69.7
110,65.8,69.2
111,65.7,69.5
112,66.1,69.6
113,66.5,69.3
114,66.6,69.5
115,66.6,68.7
116,67.7,69.3
117,68.5,69.2
118,67.8,69.2
119,67.6,69.5
120,68.1,69.1
121,69.2,68.9
122,68.7,69.5
123,68.6,69.3
124,68.6,69.2
125,68.6,68.7
126,70.4,69.3
127,70.0,68.9
128,70.1,69.3
129,70.2,69.2
130,71.3,69.6
131,70.9,69.1
132,72.2,69.1
133,75.0,69.0
134,64.9,69.9
135,65.6,70.1
136,65.7,69.9
137,65.9,70.3
138,65.9,70.5
139,67.4,70.5
140,67.5,69.8
141,67.6,70.4
142,68.5,70.0
143,68.5,69.8
144,68.1,70.7
145,69.5,70.2
146,69.1,70.1
147,69.4,70.0
148,69.4,70.3
149,69.5,69.8
150,70.2,70.0
151,69.9,69.9
152,70.4,69.7
153,70.9,70.1
154,71.3,70.0
155,72.1,70.7
156,72.2,70.0
157,75.4,70.1
158,64.5,71.3
159,66.4,70.8
160,65.6,71.4
161,66.8,71.2
162,66.9,71.7
163,68.2,71.4
164,67.5,70.7
165,67.8,71.3
166,69.0,71.0
167,69.3,71.3
168,68.7,70.9
169,69.7,71.3
170,70.3,71.6
171,70.0,71.2
172,70.2,71.0
173,70.9,71.4
174,71.2,71.6
175,72.4,71.1
176,73.0,70.9
177,74.8,71.7
178,67.4,72.4
179,67.3,71.9
180,67.8,72.3
181,69.3,72.2
182,68.7,72.5
183,70.0,72.0
184,69.8,72.3
185,70.7,72.5
186,71.1,72.3
187,72.5,72.0
188,72.5,72.2
189,67.5,72.8
190,68.2,73.0
191,68.8,72.9
192,69.9,73.2
193,71.5,73.6
194,70.8,72.9
195,71.9,73.2
196,63.1,74.3
197,68.2,74.4
198,70.1,73.8
199,70.8,73.9
200,72.6,73.8
201,67.9,75.6
202,67.5,75.7
203,72.8,77.2
204,62.7,61.3
205,68.2,74.3
206,65.1,70.9
207,73.4,75.3
208,62.9,61.8
209,62.5,64.0
210,69.9,62.5
211,71.1,73.7
212,71.1,66.3
213,69.5,62.2
214,70.2,65.4
215,65.5,64.0
216,62.0,62.8
217,63.6,63.5
218,65.6,63.5
219,68.0,62.9
220,61.8,63.7
221,63.8,63.7
222,64.9,64.4
223,65.8,63.7
224,66.4,64.4
225,68.8,64.3
226,61.8,65.2
227,64.3,65.1
228,63.7,65.6
229,65.0,64.9
230,65.3,65.1
231,64.8,65.2
232,65.7,65.6
233,66.0,65.6
234,67.0,64.9
235,67.8,65.4
236,69.0,64.7
237,62.2,65.8
238,62.8,65.8
239,63.9,66.7
240,65.4,66.5
241,64.6,66.4
242,65.6,66.3
243,66.2,66.2
244,66.0,66.4
245,65.8,66.7
246,67.4,66.2
247,67.1,66.4
248,67.3,66.7
249,67.9,65.8
250,68.3,66.2
251,68.0,66.3
252,68.7,65.8
253,71.2,66.3
254,62.4,66.9
255,62.9,66.8
256,64.1,67.4
257,63.9,67.7
258,64.8,67.2
259,65.4,67.3
260,64.8,67.5
261,68.7,69.0
262,65.2,62.0
263,64.3,64.1
264,66.1,66.0
265,69.0,65.8
266,64.5,66.9
267,66.1,66.8
268,65.7,67.0
269,66.5,67.4
270,65.6,66.8
271,66.4,67.3
272,67.3,67.5
273,66.8,67.2
274,66.7,67.6
275,67.3,66.9
276,67.4,66.7
277,67.9,67.2
278,67.8,67.2
279,68.1,66.8
280,68.3,66.8
281,68.8,67.5
282,69.4,67.1
283,69.3,67.1
284,70.5,66.9
285,70.1,67.5
286,70.6,66.9
287,62.4,67.7
288,63.2,67.9
289,63.5,68.7
290,63.9,68.6
291,64.6,68.4
292,64.9,68.4
293,65.9,68.4
294,66.2,68.4
295,66.5,67.9
296,65.5,68.3
297,66.9,68.0
298,67.1,68.2
299,66.8,68.6
300,67.2,68.6
301,66.5,67.8
302,67.0,67.9
303,66.6,68.2
304,68.2,68.0
305,67.6,67.9
306,68.3,67.8
307,68.0,68.6
308,69.0,68.1
309,69.3,67.9
310,68.9,68.5
311,68.9,68.6
312,69.4,68.1
313,69.5,68.1
314,70.3,67.7
315,69.9,68.4
316,70.7,68.6
317,70.6,68.3
318,72.4,68.1
319,72.5,68.4
320,62.7,69.4
321,63.9,69.0
322,64.5,69.4
323,64.8,68.9
324,65.4,69.4
325,65.8,69.3
326,66.3,69.0
327,65.8,69.6
328,66.8,69.2
329,67.2,69.7
330,67.3,68.9
331,67.5,69.1
332,67.9,69.0
333,68.4,69.2
334,67.6,69.6
335,68.5,68.8
336,68.6,69.2
337,69.1,69.1
338,68.6,69.0
339,69.2,69.3
340,68.6,69.2
341,68.5,68.9
342,69.7,69.4
343,70.4,68.7
344,70.0,68.8
345,70.3,69.4
346,71.3,69.4
347,71.3,69.5
348,72.6,69.2
349,64.4,70.0
350,64.9,69.9
351,66.3,70.0
352,66.0,69.7
353,65.7,69.8
354,66.7,69.9
355,66.6,70.3
356,68.3,69.8
357,67.9,69.9
358,68.0,70.3
359,68.3,70.7
360,68.8,70.4
361,69.1,70.4
362,69.0,70.6
363,69.4,70.2
364,69.8,69.9
365,69.6,70.2
366,70.5,70.3
367,69.9,70.3
368,71.0,69.8
369,71.2,70.5
