city,administrative,population_2014,population_2001
Київ,м. Київ,2 868 702,2 611 327
Харків,Харківська,1 451 132,1 470 902
Одеса,Одеська,1 017 022,1 029 049
Дніпро,Дніпропетровська,993 094,1 080 846
Донецьк,Донецька,949 825,1 016 194
Запоріжжя,Запорізька,766 268,817 882
Львів,Львівська,729 038,732 818
Кривий Ріг,Дніпропетровська,652 137,709 014
Миколаїв,Миколаївська,494 922,514 136
Маріуполь,Донецька,458 533,492 176
Луганськ,Луганська,424 113,463 097
Вінниця,Вінницька,372 116,384 840
Макіївка,Донецька,351 820,389 589
Севастополь,м. Севастополь,344 853,342 451
Сімферополь,Автономна Республіка Крим,338 319,343 644
Херсон,Херсонська,297 593,328 360
Полтава,Полтавська,295 950,317 998
Чернігів,Чернігівська,295 670,304 994
Черкаси,Черкаська,285 170,295 414
Житомир,Житомирська,270 922,284 236
Суми,Сумська,268 874,293 141
Хмельницький,Хмельницька,266 095,253 994
Чернівці,Чернівецька,262 129,240 621
Горлівка,Донецька,254 416,292 250
Рівне,Рівненська,249 912,248 813
Кам'янське,Дніпропетровська,241 475,255 841
Кропивницький,Кіровоградська,233 333,254 103
Івано-Франківськ,Івано-Франківська,227 030,218 359
Кременчук,Полтавська,225 828,234 073
Тернопіль,Тернопільська,217 110,227 755
Луцьк,Волинська,216 076,208 816
Біла Церква,Київська,211 205,210 128
Краматорськ,Донецька,162 811,181 025
Мелітополь,Запорізька,156 889,160 657
Керч,Автономна Республіка Крим,144 626,157 007
Нікополь,Дніпропетровська,117 857,136 280
Слов'янськ,Донецька,116 694,124 829
Ужгород,Закарпатська,115 947,117 317
Бердянськ,Запорізька,115 500,121 692
Алчевськ,Луганська,110 474,119 193
Павлоград,Дніпропетровська,109 739,118 816
Сєвєродонецьк,Луганська,108 899,119 940
Євпаторія,Автономна Республіка Крим,107 040,105 915
Лисичанськ,Луганська,103 459,115 229
Кам'янець-Подільський,Хмельницька,102 254,99 610
Бровари,Київська,98 874,86 839
Конотоп,Сумська,88 477,92 657
Умань,Черкаська,86 621,88 735
Мукачево,Закарпатська,85 487,82 346
Олександрія,Кіровоградська,82 636,93 357
Хрустальний,Луганська,82 228,94 875
Єнакієве,Донецька,81 054,103 997
Шостка,Сумська,78 505,87 130
Бердичів,Житомирська,78 312,87 575
Ялта,Автономна Республіка Крим,78 200,81 654
Бахмут,Донецька,77 474,82 916
Кадіївка,Луганська,77 168,90 152
Дрогобич,Львівська,76 866,79 119
Костянтинівка,Донецька,76 065,95 111
Ніжин,Чернігівська,72 869,76 625
Ізмаїл,Одеська,72 501,84 815
Новомосковськ,Дніпропетровська,71 299,72 439
Феодосія,Автономна Республіка Крим,69 040,74 669
Ковель,Волинська,69 032,66 401
Сміла,Черкаська,68 740,69 681
Червоноград,Львівська,67 993,70 568
Калуш,Івано-Франківська,67 559,67 902
Первомайськ,Миколаївська,66 672,70 170
Коростень,Житомирська,65 454,66 669
Довжанськ,Луганська,64 895,72 531
Покровськ,Донецька,64 533,69 154
Коломия,Івано-Франківська,61 350,61 989
Бориспіль,Київська,60 160,53 975
Рубіжне,Луганська,59 951,65 322
Чорноморськ,Одеська,59 840,54 151
Стрий,Львівська,59 835,62 479
Дружківка,Донецька,59 596,64 557
Харцизьк,Донецька,58 641,64 175
Прилуки,Чернігівська,58 202,64 861
Лозова,Харківська,57 916,64 041
Чистякове,Донецька,56 993,72 346
Новоград-Волинський,Житомирська,56 049,56 259
Енергодар,Запорізька,54 536,56 242
Антрацит,Луганська,54 242,63 698
Нововолинськ,Волинська,53 298,53 838
Горішні Плавні,Полтавська,51 958,51 740
Ізюм,Харківська,51 175,56 114
Шахтарськ,Донецька,50 468,59 589
Білгород-Дністровський,Одеська,50 105,51 890
Мирноград,Донецька,49 519,54 787
Охтирка,Сумська,48 881,50 399
Марганець,Дніпропетровська,48 345,49 592
Фастів,Київська,48 098,51 976
Сніжне,Донецька,48 003,58 496
Нова Каховка,Херсонська,47 638,52 137
Лубни,Полтавська,47 397,52 572
Ровеньки,Луганська,47 370,53 725
Жовті Води,Дніпропетровська,47 284,53 582
Брянка,Луганська,46 830,54 767
Світловодськ,Кіровоградська,46 372,50 094
Ірпінь,Київська,44 023,40 593
Сорокине,Луганська,44 014,50 560
Шепетівка,Хмельницька,43 255,48 212
Ромни,Сумська,41 951,50 448
Вараш,Рівненська,41 560,38 830
Покров,Дніпропетровська,41 152,44 834
Миргород,Полтавська,40 876,42 886
Подільськ,Одеська,40 717,40 718
Южноукраїнськ,Миколаївська,40 378,38 206
Володимир-Волинський,Волинська,38 964,38 256
Первомайськ,Луганська,38 235,43 082
Дубно,Рівненська,38 087,39 146
Вишневе,Київська,38 011,34 465
Каховка,Херсонська,37 316,38 238
Васильків,Київська,36 888,39 722
Нетішин,Хмельницька,36 844,34 358
Вознесенськ,Миколаївська,36 192,42 634
Славута,Хмельницька,35 892,34 340
Ясинувата,Донецька,35 701,37 552
Джанкой,Автономна Республіка Крим,35 693,43 343
Боярка,Київська,35 558,35 968
Жмеринка,Вінницька,35 354,37 349
