city,population,foundation,area_km2,lat,lng
Авдіївка,37210,1778,29.0,47.861948,30.591953000000004
Алчевськ,119193,1895,50.0,46.304949,30.654778999999998
Амвросіївка,22130,1869,19.4,47.793485,38.47768
Ананьїв,9476,1753,5.0,47.721061,29.945019
Андрушівка,9890,1683,6.8,50.022878000000006,29.020226
Антрацит,63698,1895,61.3,48.115032,39.091283000000004
Апостолове,16439,1793,15.83,47.660028000000004,33.713685999999996
Арциз,16370,1816,118.0,45.991935999999995,29.418236
Балаклія,32408,1663,16.3,49.462699,36.859508
Бар,17284,XIV ст.,5.95,49.07717,27.682559
Баранівка,12584,1566,77.6,50.3,27.666666999999997
Барвінкове,12998,1653,22.1,48.909696000000004,37.020511
Бахмач,20332,XIX ст.,18.9,51.200933,32.774507
Бахчисарай,27549,1502,55.0,44.755246,33.857819
Баштанка,13146,1806,17.14,47.407188,32.438682
Бердичів,87575,1430,35.33,49.899285,28.602346
Бердянськ,121692,1827,82.0,46.766436,36.798719
Берегове,26735,1063,19.0,48.20555,22.644176
Бережани,17617,1375,12.0,49.442315,24.932315
Березань,17367,1616 ,32.9,46.852615,31.388025
Березівка,9481,1802,34.5,47.204291,30.907801
Березне,13669,1584 ,3.5,47.307829999999996,32.84993
Берислав,15455,1784,9.0,46.841522,33.42838
Бершадь,13336,1459 ,7.1,48.36782,29.517265000000002
Біла Церква,200131,1032,67.8,49.809385999999996,30.112085999999998
Білгород-Дністровський,51890,498 до н. е.,31.0,46.1952,30.349382000000002
Білицьке,10093,1909,2.0,47.863597999999996,31.583925
Білогірськ,18790,XV ст.,5.4,50.002629999999996,26.428244
Білозерське,17868,1913,2.5,46.624798,32.442509
Білопілля,18384,XI ст.,23.1,51.15016,34.312866
Біляївка,14294,1792,14.5,46.483191,30.216779
Бобринець,12300,1767,18.13,48.058963,32.166411
Бобровиця,11916,XI ст.,18.9,50.746927,31.394802000000002
Богодухів,18224,1662,16.2,50.164660999999995,35.527652
Богуслав,17135,1032,71.0,49.549391,30.874396
Болград,17353,1821,94.0,45.682621000000005,28.614872
Борзна,11707,XVI ст.,107.8,51.254645000000004,32.426901
Бориспіль,53975,1015 ,37.0,50.352691,30.955006
Борщів,11382,1456,3.0,48.803321999999994,26.043466
Бровари,86839,1628 ,34.0,50.518094,30.806712
Броди,23239,1084,8.67,50.087911,25.150269
Буринь,11678,XIV ст.,16.7,51.199121000000005,33.835229999999996
Буськ,8673,1097,3.85,49.965484000000004,24.612269
Бучач,12549,1260 ,10.0,49.062539,25.387981
Валки,10381,1646,13.0,49.835971,35.612229
Василівка,15592,1784,10.2,47.436944,35.274167
Васильків,39722,998,21.0,50.186925,30.313457
Ватутіне,20156,1947,10.9,46.186355999999996,29.15203
Вашківці,5987,1430-ті ,6.8,49.034617,27.236171999999996
Верхньодніпровськ,16976,1780,10.0,47.250535,34.337973
