study_hours,grades
32.1433679701,75.6369623697
27.4667251693,76.9326274852
21.2476379424,68.5759962534
33.7266605673,81.2214422364
36.5013089534,84.7874672949
30.0290065328,71.8153374089
31.2705976696,71.9454250799
28.9260120646,77.683478424
24.3959640324,70.4964496033
39.2894932796,80.1243463148
36.9066316898,79.2005242859
38.7797694532,81.2912143449
31.4745359388,72.6979066826
44.8821450624,85.5715063591
34.2721006996,74.3630356674
45.691805413,79.9944135692
49.2877641432,90.190610277
33.7893440821,73.083465265
34.7685413429,76.2737046798
37.3728602338,78.5335160995
35.9113731702,77.2906399782
41.6366496216,78.8465351257
46.3521365692,92.4999260121
36.5177963103,79.4884542021
32.5274177024,74.0336130379
24.1806381813,64.3423692894
33.2812078983,77.4348495073
31.2135532039,74.8932511418
40.020816961,81.1607375569
31.409875352,73.18236844
47.8053787788,85.0035145666
31.7046623893,73.2698180529
34.6345463454,77.0331389598
28.6847716746,73.49340431
34.5347673152,79.3946848708
29.6850374876,68.1447739535
42.5998592208,87.0964572057
29.5135487738,72.8235562917
46.9395384667,87.2244349859
39.3637240786,80.6853729145
37.6298753084,80.6536417916
41.2110110203,78.4708236425
29.1356522908,69.96237969
32.936719087,76.2871448098
41.9407801267,87.6983379027
33.833614783,78.5243570519
32.0164206469,73.6047936897
33.0719705581,74.4080627736
44.6254501372,86.0350654103
42.9812694334,87.6987502863
25.3453712958,70.9279549408
39.9970191473,84.9420696503
38.3580132531,76.9567167597
36.8152684876,80.6792047903
45.134072504,85.3198143195
36.6018097412,79.7871355108
34.5706889944,79.9724542823
37.4786773203,74.2259953803
33.9869491024,82.0469232984
24.8287443739,68.7726281795
32.6247930396,75.9832234613
42.6141667912,84.6527958849
44.872036336,83.49277475
36.5145839462,82.8400296674
40.1788621079,81.1914514499
42.0874861878,82.199627049
40.1022067997,79.7076682653
35.1236458339,82.3266248869
24.5401866793,68.1333742376
26.4158737924,69.8344098992
37.5192308348,76.0239408417
40.9790873186,78.5315756916
42.0206588083,77.6976521756
39.9756635505,85.3748523812
39.0528363669,79.7344150463
28.2270458614,70.7793345415
28.9003137771,70.4582725175
25.1500412842,72.015707448
38.8328536194,78.4822356091
37.4114712366,82.7569836166
33.8698143445,74.3065034606
24.6824458576,66.9869992516
21.7976186888,65.8906277286
34.7633593666,79.0300532953
28.3102225756,65.3297354255
27.610579352,72.1975157854
45.1070506032,90.901940268
24.1455167689,69.9654658017
29.6715871462,71.1970689065
34.3852389593,83.0097287784
34.4928266216,80.3430028895
39.884160104,81.2936637578
31.5955944055,74.9897232977
44.1216911058,87.0258730112
30.1836691646,70.6516824845
27.5228915133,73.7110801325
36.4373888927,81.59050331
26.7600886545,67.6763740265
28.2819142299,74.4881536576
33.3057960133,72.7383382821
29.0930900046,73.1708153879
28.9733331252,79.3682786532
31.6906566058,72.5757989614
35.6590617578,75.663329161
18.5511212955,61.5137195136
32.2876684463,73.7181648272
28.9717069367,74.8738511338
41.4317880256,81.18169769
35.8611521285,79.8422696928
36.8527318627,79.579293907
36.8244795799,75.1103826453
38.7390278523,80.6774049175
37.933006057,77.6288146918
46.3132824115,89.5054681474
42.0337095192,87.6097527741
27.5947919091,70.3758752882
34.352890784,81.5985063968
25.7641864325,74.3910448412
37.7011762915,80.7671334769
29.0310753046,72.8592878995
31.6253293612,72.4371241336
39.9280848026,75.8513684292
39.8682707768,78.615976581
42.0820062246,73.5723957293
27.6317108351,70.9725527387
32.7382599962,75.7465410664
37.396787966,73.1775211923
31.9934518358,69.8873329931
28.1161067934,68.2939787602
28.8497122318,66.7800140972
35.5832305819,77.1503922361
39.6785656071,83.4384073675
35.406027216,81.8706754513
33.5083891178,76.6745772924
43.8780972627,84.5049739401
25.9790101105,71.2540798016
31.2569341754,76.1053012077
40.8987052798,82.0295761924
34.1430855565,78.9274958433
33.0727494342,79.8522759165
33.9210018982,79.9875673604
27.9978237385,70.5881248492
38.8314857245,82.7401618457
31.8576280738,67.7783256669
47.1676705778,82.3855521088
38.1086639288,73.2881961293
